Spot / Vendor,Type
Orasis Gallery - Surabaya,['Museum (16)']
Museum Etnografi UnAir - Surabaya,['Museum (16)']
Museum Teknoform - Surabaya,['Museum (16)']
Bromo Indonesia Travel - Surabaya,['Tur dengan Perahu & Olahraga Air (16)']
ION-C Dive Center - Surabaya,['Tur dengan Perahu & Olahraga Air (16)']
Arung Jeram Noars - Surabaya,['Tur dengan Perahu & Olahraga Air (16)']
Erupsea - Surabaya,['Tur dengan Perahu & Olahraga Air (16)']
Bromo Java Exotic - Surabaya,['Tur dengan Perahu & Olahraga Air (16)']
Exotic Java Tours - Surabaya,['Tur dengan Perahu & Olahraga Air (16)']
Regulo Arus Liar - Surabaya,['Tur dengan Perahu & Olahraga Air (16)']
Sentra Ikan Bulak - Surabaya,['Makanan & Minuman (10)']
Akademi Kuliner Tristar - Surabaya,"['Makanan & Minuman (10)', 'Kursus & Sanggar (5)']"
Starjet Tour & Travel Indonesia - Surabaya,['Makanan & Minuman (10)']
Surabaya Food Tour - Surabaya,['Makanan & Minuman (10)']
Jaka Teguh - Surabaya,['Makanan & Minuman (10)']
Fritz Chandra Vila - Surabaya,['Makanan & Minuman (10)']
Turangga Strength and Conditioning Box - Surabaya,['Kursus & Sanggar (5)']
Artistica Silver Course - Surabaya,['Kursus & Sanggar (5)']
Suroboyo Carnival Park - Surabaya,"['Taman Air & Taman Hiburan (5)', 'Cocok untuk Anak-Anak (40)', 'Cocok untuk Kelompok Besar (35)', 'Cocok untuk Pasangan (23)', 'Cocok untuk Penggemar Aktivitas Ekstrem (9)']"
Ciputra Waterpark - Surabaya,"['Taman Air & Taman Hiburan (5)', 'Cocok untuk Anak-Anak (40)', 'Cocok untuk Kelompok Besar (35)', 'Cocok untuk Penggemar Aktivitas Ekstrem (9)']"
Taman Remaja Surabaya - Surabaya,['Taman Air & Taman Hiburan (5)']
Taman Hiburan Rakyat (THR) - Surabaya,"['Taman Air & Taman Hiburan (5)', 'Cocok untuk Kelompok Besar (35)']"
Atlantis Land - Surabaya,"['Taman Air & Taman Hiburan (5)', 'Cocok untuk Anak-Anak (40)']"
Surabaya Tourism Information Center - Surabaya,"['Sumber Informasi Wisatawan (2)', 'Harga terjangkau (38)']"
Kebun Raya Bogor - Bogor,"['Wisata Alam & Taman (42)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Cocok untuk Kelompok Besar (12)', 'Cocok untuk Pasangan (7)']"
Taman Nasional Gunung Gede Pangrango - Bogor,"['Wisata Alam & Taman (42)', 'Harga terjangkau (16)', 'Cocok untuk Kelompok Besar (12)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Berjiwa petualang (4)', 'Tempat yang Belum Populer (3)']"
Curug Cilember - Bogor,"['Wisata Alam & Taman (42)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Cocok untuk Kelompok Besar (12)', 'Cocok untuk Pasangan (7)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Berjiwa petualang (4)', 'Tempat yang Belum Populer (3)']"
Taman Nasional Halimun Salak - Bogor,"['Wisata Alam & Taman (42)', 'Harga terjangkau (16)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Berjiwa petualang (4)']"
Curug Nangka - Bogor,"['Wisata Alam & Taman (42)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Cocok untuk Pasangan (7)']"
Air terjun Cibeureum - Bogor,"['Wisata Alam & Taman (42)', 'Cocok untuk Kelompok Besar (12)']"
Kawah Ratu - Bogor,"['Wisata Alam & Taman (42)', 'Cocok untuk Kelompok Besar (12)', 'Cocok untuk Pasangan (7)', 'Berjiwa petualang (4)']"
Gunung Bunder - Bogor,['Wisata Alam & Taman (42)']
Curug Seribu - Bogor,"['Wisata Alam & Taman (42)', 'Harga terjangkau (16)']"
Taman Sempur - Bogor,"['Wisata Alam & Taman (42)', 'Pemandangan & Tengara (30)']"
"Gunung Batu, Jonggol - Bogor","['Wisata Alam & Taman (42)', 'Aktivitas Luar Ruangan (41)']"
Taman Wisata Gunung Pancar - Bogor,"['Wisata Alam & Taman (42)', 'Aktivitas Luar Ruangan (41)', 'Spa & Kebugaran (10)']"
Curug Ciputri - Bogor,['Wisata Alam & Taman (42)']
Curug Ciherang - Bogor,"['Wisata Alam & Taman (42)', 'Cocok untuk Anak-Anak (19)', 'Masuk Gratis (6)']"
Panorama Pabangbon - Bogor,"['Wisata Alam & Taman (42)', 'Pemandangan & Tengara (30)']"
"Curug Priuk, Naga Dan Barong - Bogor",['Wisata Alam & Taman (42)']
DeVoyage Bogor - Bogor,"['Wisata Alam & Taman (42)', 'Pemandangan & Tengara (30)', 'Hiburan & Permainan (12)', 'Cocok untuk Anak-Anak (19)']"
Penangkaran Rusa Cariu - Bogor,"['Wisata Alam & Taman (42)', 'Wisata Alam & Taman (42)']"
Curug Cikuwulung - Bogor,['Wisata Alam & Taman (42)']
Taman Topi Bogor - Bogor,"['Wisata Alam & Taman (42)', 'Pemandangan & Tengara (30)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Masuk Gratis (6)']"
Curug Ciampea - Bogor,['Wisata Alam & Taman (42)']
Neglasari Adventureland - Bogor,['Wisata Alam & Taman (42)']
Leuwi Balong Endah - Bogor,['Wisata Alam & Taman (42)']
Spa & Tempat pemandian air panas Giritirta - Bogor,['Wisata Alam & Taman (42)']
Curug Buluh - Bogor,['Wisata Alam & Taman (42)']
Curug Cigamea - Bogor,['Wisata Alam & Taman (42)']
Gunung Munara - Bogor,['Wisata Alam & Taman (42)']
Curug Ciparay - Bogor,['Wisata Alam & Taman (42)']
Animal Sanctuary Trust - Bogor,['Wisata Alam & Taman (42)']
Rancamaya Golf & Country Club - Bogor,['Aktivitas Luar Ruangan (41)']
Riverside Golf Club - Bogor,['Aktivitas Luar Ruangan (41)']
"Paragliding Bukit Gantole, Puncak - Bogor","['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)']"
Bogor Halimun National Park Tour - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)']"
Tiketkenzo - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Transportasi (8)']"
Klub Golf Bogor Raya - Bogor,['Aktivitas Luar Ruangan (41)']
Sempur Skatepark - Bogor,"['Aktivitas Luar Ruangan (41)', 'Kursus & Sanggar (3)', 'Cocok untuk Anak-Anak (19)']"
Sentul Highlands Golf Course - Bogor,['Aktivitas Luar Ruangan (41)']
Bogor Mountain Biking - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)']"
Rainbow Hills Golf Club - Bogor,['Aktivitas Luar Ruangan (41)']
Jakarta Bogor Guide - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Transportasi (8)', 'Makanan & Minuman (4)']"
Gunung Geulis Country Club - Bogor,['Aktivitas Luar Ruangan (41)']
Maseng River Camp - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)']"
Bogor Mugi Tour - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)']"
Wahana Curug Naga - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)']"
Pelita Desa - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)']"
Suaka Elang - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)']"
CR1 Adventure - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)']"
Outbound Sukamantri - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)']"
Ontel Hias Bogor - Bogor,['Aktivitas Luar Ruangan (41)']
Kayak Jabodetabek Club - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)']"
Desa Pelangi Sentul - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)']"
Kampung Wisata Rumah Joglo - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)']"
Marcopolo Fit For Two Fitness Center bukit cimanggu bogor - Bogor,['Aktivitas Luar Ruangan (41)']
Wahana Outbound Wahidiyah - Bogor,['Aktivitas Luar Ruangan (41)']
Panorama Pangrango Camp - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)']"
Bogor Rafting Adventure - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)']"
Rafting Bogor Adventure - Bogor,"['Aktivitas Luar Ruangan (41)', 'Tur (38)', 'Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)', 'Tur dengan Perahu & Olahraga Air (13)']"
Ekaputra Wisata - Bogor,['Tur (38)']
Bogor Tours - Bogor,['Tur (38)']
Bogor Private Tour Guide - Bogor,['Tur (38)']
Wisata Kuliner Suryakencana - Bogor,"['Tur (38)', 'Makanan & Minuman (4)']"
Taman Wisata Gunung Salak Endah - Bogor,['Tur (38)']
volcano hike + Jungle trekking adventure - Bogor,['Tur (38)']
The Paragina Hair Professional - Bogor,"['Tur (38)', 'Hiburan & Permainan (12)', 'Kursus & Sanggar (3)']"
Rafting & Outbound - Bogor,"['Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)']"
Sandal Shop - Bogor,['Tur (38)']
Bogor Vacation - Bogor,"['Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)', 'Hiburan & Permainan (12)']"
Azzura Tour Travel - Bogor,"['Tur (38)', 'Tur dengan Perahu & Olahraga Air (13)', 'Transportasi (8)']"
Istana Bogor - Bogor,"['Pemandangan & Tengara (30)', 'Museum (6)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Cocok untuk Kelompok Besar (12)']"
Kuntum Farmfield - Bogor,"['Pemandangan & Tengara (30)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Cocok untuk Kelompok Besar (12)']"
Pura Parahyangan Agung Taman Sari Gunung Salak - Bogor,"['Pemandangan & Tengara (30)', 'Harga terjangkau (16)', 'Masuk Gratis (6)']"
Taman Wisata Mekarsari - Bogor,"['Pemandangan & Tengara (30)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Cocok untuk Kelompok Besar (12)']"
Kebun Durian Warso Farm - Bogor,"['Pemandangan & Tengara (30)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Masuk Gratis (6)']"
Masjid Muammar Qadafi - Bogor,['Pemandangan & Tengara (30)']
Masjid Harakatul Jannah - Bogor,['Pemandangan & Tengara (30)']
Puncak Berry Farm - Bogor,['Pemandangan & Tengara (30)']
Bukit Alesano - Bogor,['Pemandangan & Tengara (30)']
Masjid Darussalam - Bogor,['Pemandangan & Tengara (30)']
Situs Tapak Gajah - Bogor,['Pemandangan & Tengara (30)']
Prasasti Batutulis - Bogor,['Pemandangan & Tengara (30)']
Kerajinan tradisional Gong di Bogor - Bogor,"['Pemandangan & Tengara (30)', 'Masuk Gratis (6)', 'Bagus Saat Hujan (3)']"
Pulo Geulis - Bogor,['Pemandangan & Tengara (30)']
Kebun Wisata Pasirmukti - Bogor,['Pemandangan & Tengara (30)']
Prasasti Ciaruteun - Bogor,['Pemandangan & Tengara (30)']
Vihara Buddha Dharma & 8 Pho Sat - Bogor,['Pemandangan & Tengara (30)']
Gunung Benteng Pabangbon - Bogor,['Pemandangan & Tengara (30)']
Masjid Al-Hurriyyah - Bogor,['Pemandangan & Tengara (30)']
Cianten River Village - Bogor,['Pemandangan & Tengara (30)']
Kampung Salaka - Bogor,['Pemandangan & Tengara (30)']
Vihara Dhanagun - Bogor,['Pemandangan & Tengara (30)']
Mausoleum Van Motman - Bogor,['Pemandangan & Tengara (30)']
Situs Batu Dakon - Bogor,['Pemandangan & Tengara (30)']
Kampung Cina - Bogor,['Pemandangan & Tengara (30)']
Bukit Bintang - Bogor,['Pemandangan & Tengara (30)']
Botani Square - Bogor,"['Tempat Belanja (16)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Cocok untuk Kelompok Besar (12)', 'Masuk Gratis (6)', 'Bagus Saat Hujan (3)']"
Petrified Wood Indonesia - Bogor,['Tempat Belanja (16)']
SKI Tajur Katulampa - Bogor,"['Tempat Belanja (16)', 'Taman Air & Taman Hiburan (7)']"
Chocomory - Bogor,['Tempat Belanja (16)']
Mall BTM Bogor - Bogor,['Tempat Belanja (16)']
Rumah Talas - Bogor,"['Tempat Belanja (16)', 'Makanan & Minuman (4)']"
Gerai Nusantara - Bogor,['Tempat Belanja (16)']
Ekalokasari Plaza - Bogor,['Tempat Belanja (16)']
Wayang Golek Pak Dase - Bogor,['Tempat Belanja (16)']
Batik Bogor Tradisiku - Bogor,['Tempat Belanja (16)']
Ngesti Swalayan Pajajaran - Bogor,['Tempat Belanja (16)']
Sumber Karya Indah - Bogor,['Tempat Belanja (16)']
PD Hassan - Bogor,['Tempat Belanja (16)']
Mimicici Cake Cibinong - Kue Ultah Cibinong - Bogor,['Tempat Belanja (16)']
Viral Batik - Bogor,['Tempat Belanja (16)']
Batik MAGO - Bogor,['Tempat Belanja (16)']
21 Cineplex - Bogor,['Hiburan & Permainan (12)']
Kolam Renang Cimahpar - Bogor,['Hiburan & Permainan (12)']
Agrowisata Villa Bukit Hambalang - Bogor,['Hiburan & Permainan (12)']
Klub Bogor Raya - Bogor,"['Hiburan & Permainan (12)', 'Spa & Kebugaran (10)']"
Trans Studio Mini - Bogor,['Hiburan & Permainan (12)']
Cinemaxx - Bogor,['Hiburan & Permainan (12)']
RUMAH WISATA PAKIS ASRI - Bogor,"['Hiburan & Permainan (12)', 'Transportasi (8)', 'Makanan & Minuman (4)', 'Kursus & Sanggar (3)']"
Jelajah Outdoor - Bogor,['Hiburan & Permainan (12)']
Kolam Renang Villa Duta - Bogor,['Hiburan & Permainan (12)']
Bersih Sehat - Bogor,['Spa & Kebugaran (10)']
Taman Tirta Sanita Gunung Kapur - Bogor,['Spa & Kebugaran (10)']
Novus Puncak Spa - Bogor,['Spa & Kebugaran (10)']
Maxx Barbershop - Cibubur Legenda - Bogor,['Spa & Kebugaran (10)']
Anjani Salon and Day Spa - Bogor,['Spa & Kebugaran (10)']
Dedari Spa - Bogor,['Spa & Kebugaran (10)']
Marun Spa - Bogor,['Spa & Kebugaran (10)']
PoetreSpa Day Spa & Skin Care - Bogor,['Spa & Kebugaran (10)']
RA Travel Bogor Bandung - Bogor,['Transportasi (8)']
Puput travel - Bogor,['Transportasi (8)']
Yusuf Alhadist - Bogor,['Transportasi (8)']
Personal guide and city tours - Bogor,['Transportasi (8)']
The Jungle Waterpark - Bogor,"['Taman Air & Taman Hiburan (7)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Cocok untuk Kelompok Besar (12)', 'Cocok untuk Pasangan (7)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)']"
Water Kingdom Family Aquatic Adventure Park - Bogor,"['Taman Air & Taman Hiburan (7)', 'Cocok untuk Anak-Anak (19)']"
Marcopolo Water Adventure - Bogor,['Taman Air & Taman Hiburan (7)']
Jungle Festival - Bogor,['Taman Air & Taman Hiburan (7)']
Cibalung Happy Land - Bogor,['Taman Air & Taman Hiburan (7)']
Lembah Cisadane - Bogor,['Taman Air & Taman Hiburan (7)']
Museum Zoologi - Bogor,"['Museum (6)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)']"
Museum Nasional Sejarah Alam Indonesia - Bogor,['Museum (6)']
Museum Kepresidenan - Bogor,['Museum (6)']
Museum Tanah dan Pertanian - Bogor,['Museum (6)']
Museum Pembela Tanah Air - Bogor,['Museum (6)']
Waterfall Bar - Bogor,['Hiburan malam (1)']
Bogor Tourist Information Center - Bogor,['Sumber Informasi Wisatawan (1)']
Masjid At-Ta'awun - Puncak,['Tur (2)']
ToBadaa Indonesia - Puncak,"['Tur (2)', 'Aktivitas Luar Ruangan (2)', 'Transportasi (1)']"
Agrowisata GUNUNG MAS Kebun Teh Walini - Puncak,"['Pemandangan & Tengara (2)', 'Cocok untuk Anak-Anak (5)', 'Harga terjangkau (3)', 'Cocok untuk Kelompok Besar (2)']"
Wisata Alam Villa Khayangan - Puncak,['Pemandangan & Tengara (2)']
Curug Panjang - Puncak,['Wisata Alam & Taman (2)']
Telaga Warna Puncak - Puncak,['Wisata Alam & Taman (2)']
The Ranch - Puncak,['Aktivitas Luar Ruangan (2)']
Daiva Spa - Puncak,['Spa & Kebugaran (1)']
Rabbit Village - Puncak,"['Kebun Binatang & Akuarium (1)', 'Hiburan & Permainan (1)']"
Kota Bunga - Puncak,"['Taman Air & Taman Hiburan (1)', 'Cocok untuk Anak-Anak (5)']"
Suweca Bali Tour - Tanjungbenoa,['Tur (58)']
Bali Charm - Tur Harian - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)']"
Bali Jet Set Dive dan Olah Raga Bahari - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Seawalker Bali di Grand Mirage Resort - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Adi Tour Guide - Tanjungbenoa,['Tur (58)']
Bali Fishing Boats - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Bali Parasailing Adventures - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Nusa Dua Water Sport - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Benoa Water Sports - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Bali Marine & Water Sport - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
BALI CIRCLE - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)', 'Makanan & Minuman (5)', 'Kursus & Sanggar (4)', 'Transportasi (4)', 'Hiburan malam (3)', 'Hiburan & Permainan (2)']"
Hammerhead Bali Diving - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Fast and Fun Dive Centre - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Bali Water Sports - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Tanjung Benoa Water Sports - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
YOS Dive Bali - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Ariyana Bali Tour - Tanjungbenoa,['Tur (58)']
Petualangan Bahari Wibisana - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Flyboard Bali - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Bali Lestari Tour - Tanjungbenoa,"['Tur (58)', 'Tempat Belanja (2)']"
Water Sport Tanjung Benoa Club - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Skylight Dinner Cruise - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)', 'Makanan & Minuman (5)']"
Bali Snorkeling Trip - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Segara Mas - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Fly Board Experience by Activities Bali - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Kanha Bali Watersport - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
BALI MOTION Tour & Travel - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)', 'Makanan & Minuman (5)', 'Kursus & Sanggar (4)', 'Transportasi (4)', 'Hiburan malam (3)', 'Tempat Belanja (2)']"
Parasasaling Adventure Bali - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Bali Water Sport - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Bali Watersport Activities - Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Basuka Dive & Water Sport Bali - Tanjungbenoa,"['Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Seawalker Bali - Tanjungbenoa,"['Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Bali Fishing Charters - Tanjungbenoa,"['Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Tirta Pratama Watersport - Tanjungbenoa,"['Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)']"
Pandawa Marine Adventures - Tanjungbenoa,['Tur dengan Perahu & Olahraga Air (52)']
Bhava Spa Benoa - Tanjungbenoa,['Spa & Kebugaran (21)']
Misel's Spa - Tanjungbenoa,['Spa & Kebugaran (21)']
The Home SPA - Tanjungbenoa,['Spa & Kebugaran (21)']
Tea Tree Spa - Tanjungbenoa,['Spa & Kebugaran (21)']
Spa Carla - Tanjungbenoa,['Spa & Kebugaran (21)']
Thalasso Bali - Tanjungbenoa,['Spa & Kebugaran (21)']
Susan Salon & Spa - Tanjungbenoa,['Spa & Kebugaran (21)']
Spa Coconut - Tanjungbenoa,['Spa & Kebugaran (21)']
The Spa di Hotel Nikko Bali Benoa Beach - Tanjungbenoa,['Spa & Kebugaran (21)']
Spa Tunjung Sari Bali - Tanjungbenoa,['Spa & Kebugaran (21)']
Body & Sol Spa - Tanjungbenoa,['Spa & Kebugaran (21)']
The Lotus Temple Spa & Beauty - Tanjungbenoa,['Spa & Kebugaran (21)']
Spa Jiwa - Tanjungbenoa,['Spa & Kebugaran (21)']
Rasa Sayang Body Spa - Tanjungbenoa,['Spa & Kebugaran (21)']
The Royal Spa - Tanjungbenoa,['Spa & Kebugaran (21)']
Atlichnaya Spa - Tanjungbenoa,['Spa & Kebugaran (21)']
Kenanga Salon & Spa - Tanjungbenoa,['Spa & Kebugaran (21)']
Sai Spa & Salon - Tanjungbenoa,['Spa & Kebugaran (21)']
Cahya Spa - Tanjungbenoa,['Spa & Kebugaran (21)']
Kawas Spa - Tanjungbenoa,['Spa & Kebugaran (21)']
Srimayi Puri Yoga & Spa Wellness - Tanjungbenoa,['Spa & Kebugaran (21)']
Bumbu Bali Cooking - Kursus Masak - Tanjungbenoa,"['Makanan & Minuman (5)', 'Kursus & Sanggar (4)']"
Bagus tour - Tanjungbenoa,"['Makanan & Minuman (5)', 'Transportasi (4)', 'Hiburan malam (3)']"
Bali Spa Treatment Tour - Tanjungbenoa,"['Kursus & Sanggar (4)', 'Hiburan & Permainan (2)']"
Freaky Travel - Tanjungbenoa,['Transportasi (4)']
Caow Eng Bio Chinese Buddhist Temple - Tanjungbenoa,"['Pemandangan & Tengara (2)', 'Harga terjangkau (11)', 'Masuk Gratis (2)']"
Pelabuhan Benoa - Tanjungbenoa,"['Pemandangan & Tengara (2)', 'Harga terjangkau (11)', 'Masuk Gratis (2)']"
Pulau Penyu - Tanjungbenoa,['Wisata Alam & Taman (1)']
Olas de Bali Surf School - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Tur dengan Perahu & Olahraga Air (7)']"
Pantai Thomas - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Wisata Alam & Taman (2)', 'Cocok untuk Pasangan (6)', 'Cocok untuk Anak-Anak (6)', 'Harga terjangkau (4)', 'Cocok untuk Kelompok Besar (4)', 'Lokasi bulan madu (4)', 'Masuk Gratis (3)', 'Tempat yang Belum Populer (1)']"
Pantai Uluwatu - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Wisata Alam & Taman (2)', 'Cocok untuk Anak-Anak (6)', 'Harga terjangkau (4)', 'Cocok untuk Kelompok Besar (4)', 'Lokasi bulan madu (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Masuk Gratis (3)']"
Infinite Wave Surf School - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Tur dengan Perahu & Olahraga Air (7)']"
Bali Training Centre - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Kursus & Sanggar (4)', 'Bagus Saat Hujan (7)', 'Cocok untuk Anak-Anak (6)']"
Bradhas Surf Bali - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Tur dengan Perahu & Olahraga Air (7)', 'Kursus & Sanggar (4)']"
kopi bali tours & transport - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Transportasi (8)', 'Tur dengan Perahu & Olahraga Air (7)']"
Sannyas Yoga Academy Uluwatu - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Kursus & Sanggar (4)']"
Stable Kuda Bahagia - Uluwatu,['Aktivitas Luar Ruangan (17)']
Bali Simple Surfschool - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Tur dengan Perahu & Olahraga Air (7)']"
Panca Horse Uluwatu - Uluwatu,['Aktivitas Luar Ruangan (17)']
Gwk Bali Ticket - Uluwatu,['Aktivitas Luar Ruangan (17)']
Dana Bali Driver - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Tempat Belanja (2)']"
Jon Bovi - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Transportasi (8)']"
Simple Surf School - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Tur (16)', 'Tur dengan Perahu & Olahraga Air (7)', 'Tur dengan Perahu & Olahraga Air (7)']"
Balakosa Bali Transport - Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Transportasi (8)']"
Edi Tour Service - Uluwatu,"['Tur (16)', 'Transportasi (8)']"
Get Bali Tour - Uluwatu,['Tur (16)']
Batuputih Tour - Uluwatu,['Tur (16)']
Travel Curious - Bali - Uluwatu,['Tur (16)']
Uluwatu Temple - Uluwatu,['Tur (16)']
Dek Na - Uluwatu,"['Tur (16)', 'Transportasi (8)']"
Bali Private Airport Transfer - Uluwatu,['Transportasi (8)']
Talixo - Uluwatu - Uluwatu,['Transportasi (8)']
I kadek sumarjaya - Uluwatu,['Transportasi (8)']
D'Nailbar Spa Bali Uluwatu - Uluwatu,['Spa & Kebugaran (7)']
Anantara Spa - Uluwatu,['Spa & Kebugaran (7)']
