Spot / Vendor,Type,reviewers,link
Wowbalinusa Trip - Nusa Penida,['Transportasi (23)'],0,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d17584838-Reviews-Wowbalinusa_Trip-Nusa_Penida_Bali.html
Endra Tour Nusa Penida - Nusa Penida,['Transportasi (23)'],0,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d13979047-Reviews-Endra_Tour_Nusa_Penida-Nusa_Penida_Bali.html
Pulau Nusa Penida - Nusa Penida,"['Wisata Alam & Taman (20)', 'Cocok untuk Pasangan (63)', 'Cocok untuk Kelompok Besar (38)', 'Harga terjangkau (32)', 'Cocok untuk Penggemar Aktivitas Ekstrem (27)', 'Berjiwa petualang (22)', 'Masuk Gratis (14)', 'Lokasi bulan madu (11)', 'Tempat yang Belum Populer (8)']",969,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d447062-Reviews-Nusa_Penida_Island-Nusa_Penida_Bali.html
Teluk Crystal - Nusa Penida,"['Wisata Alam & Taman (20)', 'Cocok untuk Pasangan (63)', 'Cocok untuk Kelompok Besar (38)', 'Harga terjangkau (32)', 'Cocok untuk Anak-Anak (28)', 'Masuk Gratis (14)', 'Lokasi bulan madu (11)']",819,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d6979297-Reviews-Crystal_Bay-Nusa_Penida_Bali.html
Tembeling Beach and Forest - Nusa Penida,"['Wisata Alam & Taman (20)', 'Cocok untuk Pasangan (63)', 'Harga terjangkau (32)', 'Masuk Gratis (14)']",44,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d15190781-Reviews-Tembeling_Beach_and_Forest-Nusa_Penida_Bali.html
Air Terjun Peguyangan - Nusa Penida,"['Wisata Alam & Taman (20)', 'Harga terjangkau (32)', 'Cocok untuk Penggemar Aktivitas Ekstrem (27)', 'Berjiwa petualang (22)']",72,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d10436207-Reviews-Peguyangan_Waterfall-Nusa_Penida_Bali.html
Wall Bay Point - Nusa Penida,['Wisata Alam & Taman (20)'],1,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d19070348-Reviews-Wall_Bay_Point-Nusa_Penida_Bali.html
Pusat Konservasi & Yayasan Perlindungan Taman Nasional Satwa Liar (FNPF) - Nusa Penida,"['Wisata Alam & Taman (20)', 'Cocok untuk Anak-Anak (28)']",26,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d2056742-Reviews-Friends_of_the_National_Parks_Foundation_Wildlife_Conservation_Centre-Nusa_Penid.html
Pantai Pandan - Nusa Penida,"['Wisata Alam & Taman (20)', 'Cocok untuk Pasangan (63)', 'Masuk Gratis (14)']",13,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d13481412-Reviews-Pandan_Beach-Nusa_Penida_Bali.html
Bukit Teletubbies - Nusa Penida,"['Wisata Alam & Taman (20)', 'Pemandangan & Tengara (8)', 'Masuk Gratis (14)']",14,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d15522350-Reviews-Teletubbies_Hill-Nusa_Penida_Bali.html
Air Terjun Seganing - Nusa Penida,"['Wisata Alam & Taman (20)', 'Masuk Gratis (14)']",15,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d13798685-Reviews-Seganing_Waterfall-Nusa_Penida_Bali.html
Pantai Suwehan - Nusa Penida,"['Wisata Alam & Taman (20)', 'Cocok untuk Pasangan (63)', 'Masuk Gratis (14)']",27,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d12918337-Reviews-Suwehan_Beach-Nusa_Penida_Bali.html
Gamat Bay - Nusa Penida,"['Wisata Alam & Taman (20)', 'Masuk Gratis (14)']",11,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d15609055-Reviews-Gamat_Bay-Nusa_Penida_Bali.html
Lumangan Beach - Nusa Penida,['Wisata Alam & Taman (20)'],3,https://www.tripadvisor.co.id/Attraction_Review-g12696636-d15226180-Reviews-Lumangan_Beach-Sakti_Nusa_Penida_Bali.html
Pasih Andus - Nusa Penida,['Wisata Alam & Taman (20)'],6,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d10663704-Reviews-Pasih_Andus-Nusa_Penida_Bali.html
Pantai Sun Sun - Nusa Penida,['Wisata Alam & Taman (20)'],0,https://www.tripadvisor.co.id/Attraction_Review-g12948593-d17758085-Reviews-Sun_Sun_Beach-Ped_Nusa_Penida_Bali.html
Raja Lima - Nusa Penida,['Wisata Alam & Taman (20)'],0,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d16872254-Reviews-Raja_Lima-Nusa_Penida_Bali.html
Pura Goa Giri Putri - Nusa Penida,"['Pemandangan & Tengara (8)', 'Cocok untuk Pasangan (63)', 'Cocok untuk Kelompok Besar (38)', 'Harga terjangkau (32)', 'Berjiwa petualang (22)', 'Bagus Saat Hujan (14)']",200,https://www.tripadvisor.co.id/Attraction_Review-g15239532-d8566976-Reviews-Giri_Putri_Cave-Suana_Nusa_Penida_Bali.html
Saren Cliff Point - Nusa Penida,"['Pemandangan & Tengara (8)', 'Masuk Gratis (14)']",11,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d13970255-Reviews-Saren_Cliff_Point-Nusa_Penida_Bali.html
Nusa Penida On Trip - Nusa Penida,['Pemandangan & Tengara (8)'],8,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d12287664-Reviews-Nusa_Penida_On_Trip-Nusa_Penida_Bali.html
Pura Paluang - Nusa Penida,['Pemandangan & Tengara (8)'],3,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d15816197-Reviews-Pura_Paluang-Nusa_Penida_Bali.html
Pura Segara Kidul - Nusa Penida,['Pemandangan & Tengara (8)'],3,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d14794892-Reviews-Pura_Segara_Kidul-Nusa_Penida_Bali.html
Wisata Bukit Tinggian - Nusa Penida,['Pemandangan & Tengara (8)'],3,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d8471604-Reviews-Wisata_Bukit_Tinggian-Nusa_Penida_Bali.html
Sanctuary Yoga - Nusa Penida,['Spa & Kebugaran (5)'],31,https://www.tripadvisor.co.id/Attraction_Review-g12948593-d15097440-Reviews-Sanctuary_Yoga-Ped_Nusa_Penida_Bali.html
Aloe Spa Nusa Penida - Nusa Penida,['Spa & Kebugaran (5)'],2,https://www.tripadvisor.co.id/Attraction_Review-g12948593-d20217223-Reviews-Aloe_Spa_Nusa_Penida-Ped_Nusa_Penida_Bali.html
Little Papaya Spa & Waroeng CCCO - Nusa Penida,['Spa & Kebugaran (5)'],6,https://www.tripadvisor.co.id/Attraction_Review-g12948593-d16657237-Reviews-Little_Papaya_Spa_Waroeng_CCCO-Ped_Nusa_Penida_Bali.html
Cempaka Spa Beach Warung - Nusa Penida,"['Spa & Kebugaran (5)', 'Konser & Pertunjukan (1)']",23,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d13516205-Reviews-Cempaka_Spa_Beach_Warung-Nusa_Penida_Bali.html
Coco Spa - Nusa Penida,['Spa & Kebugaran (5)'],1,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d12072146-Reviews-Coco_Spa-Nusa_Penida_Bali.html
Yoga Mira - Nusa Penida,"['Kursus & Sanggar (3)', 'Kursus & Sanggar (3)', 'Kursus & Sanggar (3)']",0,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d17640936-Reviews-Yoga_Mira-Nusa_Penida_Bali.html
Billyard & Cafe - Nusa Penida,['Hiburan malam (1)'],1,https://www.tripadvisor.co.id/Attraction_Review-g2538506-d9860051-Reviews-Billyard_Cafe-Nusa_Penida_Bali.html
Wunderpus Liveaboard - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",525,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d7305432-Reviews-Wunderpus_Liveaboard-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
iDIVE Komodo - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",332,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d13396037-Reviews-IDIVE_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Pusat Menyelam Uber Scuba Komodo - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",1207,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d7707245-Reviews-Uber_Scuba_Komodo_Dive_Center-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Azul Unlimited - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",138,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d15632691-Reviews-Azul_Unlimited-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Manta Rhei Dive Center - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",1091,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d6725216-Reviews-Manta_Rhei_Dive_Center-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Somer Dive Center - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",262,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d12547340-Reviews-Somer_Dive_Center-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
NEREN Diving Komodo - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",471,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d8317889-Reviews-NEREN_Diving_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Scuba Junkie Komodo - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",181,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d11846707-Reviews-Scuba_Junkie_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Flores Diving Centre - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",571,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d4260440-Reviews-Flores_Diving_Centre-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Travass Life - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",86,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d17592269-Reviews-Travass_Life-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Divine Diving - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",1073,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d2204050-Reviews-Divine_Diving-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Red Whale Dive Center & Tours - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",232,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d8178739-Reviews-Red_Whale_Dive_Center_Tours-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Indahnesia Tour - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",133,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d12282729-Reviews-Indahnesia_Tour-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Alexandria Cruise - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",169,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d13123705-Reviews-Alexandria_Cruise-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Tours To Komodo - Labuan Bajo,['Tur (383)'],213,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d13417062-Reviews-Tours_To_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Longlasting Trip - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",113,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d12571143-Reviews-Longlasting_Trip-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Dive Komodo - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",389,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d1965556-Reviews-Dive_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Blue Marlin Dive Komodo - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",913,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d3874344-Reviews-Blue_Marlin_Dive_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Top Komodo Tours - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",243,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d8809800-Reviews-Top_Komodo_Tours-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Dragon Dive Komodo - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",207,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d10778775-Reviews-Dragon_Dive_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Komodo Dive Center - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",460,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d4156378-Reviews-Komodo_Dive_Center-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
"Menyelam - Wicked Diving, Komodo - Labuan Bajo","['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",485,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d2156143-Reviews-Wicked_Diving_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Floresia Trip - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",228,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d13932124-Reviews-Floresia_Trip-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Great Komodo Tour - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)']",80,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d14080823-Reviews-Great_Komodo_Tour-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Tur Petualangan Flores XP - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",507,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d6570722-Reviews-Flores_XP_Adventure_Tours-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Bajo Dive Club - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",343,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d1879380-Reviews-Bajo_Dive_Club-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Komodo Dreamland Tour - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",85,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d11045877-Reviews-Komodo_Dreamland_Tour-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Wanua Adventure - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",503,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d12505647-Reviews-Wanua_Adventure-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Flores Fantastic Tours - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",66,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d13802941-Reviews-Flores_Fantastic_Tours-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Bintang Komodo Tours - Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",131,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d12617419-Reviews-Bintang_Komodo_Tours-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Captain Komodo - Labuan Bajo,"['Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)']",64,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d13505864-Reviews-Captain_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Ihasia Diving Komodo - Labuan Bajo,['Tur dengan Perahu & Olahraga Air (290)'],52,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d16725376-Reviews-Ihasia_Diving_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Komodo Tirta Wisata - Labuan Bajo,"['Transportasi (26)', 'Makanan & Minuman (8)']",29,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d19820347-Reviews-Komodo_Tirta_Wisata-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
East Indonesia Trip - Labuan Bajo,['Transportasi (26)'],20,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d17850700-Reviews-East_Indonesia_Trip-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Landuk de Komodo - Labuan Bajo,"['Transportasi (26)', 'Makanan & Minuman (8)']",5,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20142577-Reviews-Landuk_de_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Wonders Flores - Labuan Bajo,['Transportasi (26)'],4,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d19093939-Reviews-Wonders_Flores-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Kartika Cruise Komodo - Labuan Bajo,['Transportasi (26)'],3,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20244030-Reviews-Kartika_Cruise_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Komodo Pirate - Labuan Bajo,['Transportasi (26)'],1,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20902770-Reviews-Komodo_Pirate-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Diva Komodo Adventure - Labuan Bajo,"['Transportasi (26)', 'Makanan & Minuman (8)']",5,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d15279459-Reviews-Diva_Komodo_Adventure-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Xave Jati - Labuan Bajo,['Transportasi (26)'],2,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d17543480-Reviews-Xave_Jati-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Mikomo Charter - Labuan Bajo,['Transportasi (26)'],2,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d17535017-Reviews-Mikomo_Charter-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Labuan Bajo Indah Trip - Labuan Bajo,['Transportasi (26)'],1,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d19042534-Reviews-Labuan_Bajo_Indah_Trip-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Eugenea Travel - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20120663-Reviews-Eugenea_Travel-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Komodo Touristic - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20976875-Reviews-Komodo_Touristic-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Komodo Transport - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20342077-Reviews-Komodo_Transport-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Cari Organizer - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20329616-Reviews-Cari_Organizer-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Nusa Komodo Tour - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20264039-Reviews-Nusa_Komodo_Tour-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Komodo Line Tours - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20200043-Reviews-Komodo_Line_Tours-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
KOMOW Travel - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20183607-Reviews-KOMOW_Travel-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
DivaKomodoAdventure - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20053473-Reviews-DivaKomodoAdventure-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Lombok Happy Komodo - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d20046917-Reviews-Lombok_Happy_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Labuan Bajo Trip by fisiopix - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d19920255-Reviews-Labuan_Bajo_Trip_by_fisiopix-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Click Komodo - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d19823587-Reviews-Click_Komodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
baliandbeyondtour - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d19468204-Reviews-Baliandbeyondtour-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Bonabit Tour and Travel - Labuan Bajo,"['Transportasi (26)', 'Kursus & Sanggar (1)', 'Hiburan & Permainan (1)']",0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d17805743-Reviews-Bonabit_Tour_and_Travel-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Tourtokomodo - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d17365684-Reviews-Tourtokomodo-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Komodo Tour Package.com - Bali Package - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d17313769-Reviews-Komodo_Tour_Package_com_Bali_Package-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Komodo Traffic Tour - Labuan Bajo,['Transportasi (26)'],0,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d16828809-Reviews-Komodo_Traffic_Tour-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Pulau Padar - Labuan Bajo,"['Wisata Alam & Taman (16)', 'Cocok untuk Pasangan (116)', 'Cocok untuk Kelompok Besar (103)', 'Berjiwa petualang (58)', 'Cocok untuk Penggemar Aktivitas Ekstrem (50)', 'Harga terjangkau (47)', 'Lokasi bulan madu (29)', 'Tempat yang Belum Populer (22)', 'Masuk Gratis (11)']",1172,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d8797440-Reviews-Padar_Island-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Pulau Koaba - Labuan Bajo,"['Wisata Alam & Taman (16)', 'Cocok untuk Pasangan (116)', 'Cocok untuk Kelompok Besar (103)', 'Cocok untuk Anak-Anak (65)', 'Berjiwa petualang (58)', 'Harga terjangkau (47)', 'Lokasi bulan madu (29)', 'Tempat yang Belum Populer (22)', 'Masuk Gratis (11)']",325,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d6876727-Reviews-Kalong_Flying_Foxes_Island-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Pulau Kelor - Labuan Bajo,"['Wisata Alam & Taman (16)', 'Cocok untuk Pasangan (116)', 'Cocok untuk Kelompok Besar (103)', 'Cocok untuk Anak-Anak (65)', 'Cocok untuk Penggemar Aktivitas Ekstrem (50)', 'Harga terjangkau (47)', 'Lokasi bulan madu (29)', 'Tempat yang Belum Populer (22)', 'Masuk Gratis (11)']",176,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d10239603-Reviews-Kelor_Island-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Gua Rangko - Labuan Bajo,"['Wisata Alam & Taman (16)', 'Cocok untuk Pasangan (116)', 'Berjiwa petualang (58)', 'Cocok untuk Penggemar Aktivitas Ekstrem (50)', 'Harga terjangkau (47)', 'Tempat yang Belum Populer (22)']",129,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d10846065-Reviews-Rangko_Cave-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Taman Nasional Loh Liang - Labuan Bajo,"['Wisata Alam & Taman (16)', 'Cocok untuk Kelompok Besar (103)', 'Cocok untuk Anak-Anak (65)', 'Berjiwa petualang (58)', 'Cocok untuk Penggemar Aktivitas Ekstrem (50)', 'Harga terjangkau (47)']",522,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d3767593-Reviews-Loh_Liang_National_Park-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Pulau Kanawa - Labuan Bajo,"['Wisata Alam & Taman (16)', 'Cocok untuk Pasangan (116)', 'Cocok untuk Kelompok Besar (103)', 'Cocok untuk Anak-Anak (65)', 'Harga terjangkau (47)', 'Lokasi bulan madu (29)']",685,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d6983533-Reviews-Kanawa_Island-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Pulau Taka Makassar - Labuan Bajo,"['Wisata Alam & Taman (16)', 'Cocok untuk Pasangan (116)', 'Cocok untuk Anak-Anak (65)', 'Masuk Gratis (11)']",69,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d14038353-Reviews-Taka_Makassar_Island-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Gili Lawa Darat - Labuan Bajo,['Wisata Alam & Taman (16)'],89,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d8826279-Reviews-Gili_Lawa_Darat-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Air Terjun Cunca Wulang - Labuan Bajo,"['Wisata Alam & Taman (16)', 'Cocok untuk Pasangan (116)', 'Cocok untuk Kelompok Besar (103)', 'Berjiwa petualang (58)', 'Cocok untuk Penggemar Aktivitas Ekstrem (50)', 'Harga terjangkau (47)']",279,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d3874342-Reviews-Cunca_Wulang_Waterfall-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Goa Batu Cermin - Labuan Bajo,"['Wisata Alam & Taman (16)', 'Harga terjangkau (47)']",324,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d3511692-Reviews-Batu_Cermin_Cave-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
Bukit Cinta - Labuan Bajo,"['Wisata Alam & Taman (16)', 'Cocok untuk Pasangan (116)', 'Harga terjangkau (47)', 'Masuk Gratis (11)']",44,https://www.tripadvisor.co.id/Attraction_Review-g1777483-d9986187-Reviews-Love_Hill-Labuan_Bajo_Flores_East_Nusa_Tenggara.html
