Spot/Vendor,Travel Destination,Spot / Vendor Name,Type,Link,Review Count
Cubby House Kids Club - Canggu,Canggu,Cubby House Kids Club,"['Hiburan & Permainan (16)', 'Wisata Alam & Taman (8)']",https://www.tripadvisor.co.id/Attraction_Review-g311298-d7789803-Reviews-Cubby_House_Kids_Club-Canggu_North_Kuta_Bali.html,22.0
Allcaps Park - Canggu,Canggu,Allcaps Park,"['Hiburan & Permainan (16)', 'Wisata Alam & Taman (8)']",https://www.tripadvisor.co.id/Attraction_Review-g311298-d12932781-Reviews-Allcaps_Park-Canggu_North_Kuta_Bali.html,9.0
The Garden Kids Club - Canggu,Canggu,The Garden Kids Club,['Hiburan & Permainan (16)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d12568208-Reviews-The_Garden_Kids_Club-Canggu_North_Kuta_Bali.html,1.0
Strike Bowling Bali - Canggu,Canggu,Strike Bowling Bali,['Hiburan & Permainan (16)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d7605577-Reviews-Strike_Bowling_Bali-Canggu_North_Kuta_Bali.html,29.0
Bali Countryside Tour - Canggu,Canggu,Bali Countryside Tour,['Makanan & Minuman (15)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d6635834-Reviews-Bali_Countryside_Tour-Canggu_North_Kuta_Bali.html,68.0
Bali Beans Roastery - Canggu,Canggu,Bali Beans Roastery,['Makanan & Minuman (15)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d13485356-Reviews-Bali_Beans_Roastery-Canggu_North_Kuta_Bali.html,8.0
Ketut EL - Canggu,Canggu,Ketut EL,['Makanan & Minuman (15)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d19431409-Reviews-Ketut_EL-Canggu_North_Kuta_Bali.html,0.0
Where Ne❌t? - Canggu,Canggu,Where Ne❌t?,['Makanan & Minuman (15)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d19105051-Reviews-Where_Ne_t-Canggu_North_Kuta_Bali.html,0.0
Dewa Ketut Karya Mudita - Canggu,Canggu,Dewa Ketut Karya Mudita,['Makanan & Minuman (15)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d17559502-Reviews-Dewa_Ketut_Karya_Mudita-Canggu_North_Kuta_Bali.html,0.0
Pantai Nelayan - Canggu,Canggu,Pantai Nelayan,"['Wisata Alam & Taman (8)', 'Masuk Gratis (17)']",https://www.tripadvisor.co.id/Attraction_Review-g311298-d6931362-Reviews-Nelayan_Beach-Canggu_North_Kuta_Bali.html,29.0
Pantai Prancak - Canggu,Canggu,Pantai Prancak,['Wisata Alam & Taman (8)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d6931386-Reviews-Prancak_Beach-Canggu_North_Kuta_Bali.html,14.0
Pretty Poison - Canggu,Canggu,Pretty Poison,['Hiburan malam (5)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d10085079-Reviews-Pretty_Poison-Canggu_North_Kuta_Bali.html,69.0
HookahPlace Canggu - Canggu,Canggu,HookahPlace Canggu,['Hiburan malam (5)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d19524057-Reviews-HookahPlace_Canggu-Canggu_North_Kuta_Bali.html,2.0
Drink Point Bar & Bottle Shop - Canggu,Canggu,Drink Point Bar & Bottle Shop,['Hiburan malam (5)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d15581343-Reviews-Drink_Point_Bar_Bottle_Shop-Canggu_North_Kuta_Bali.html,5.0
Adventure On Arrival - Canggu,Canggu,Adventure On Arrival,['Hiburan malam (5)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d17477302-Reviews-Adventure_On_Arrival-Canggu_North_Kuta_Bali.html,7.0
Lust&Lost ChillBar - Canggu,Canggu,Lust&Lost ChillBar,['Hiburan malam (5)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d13975519-Reviews-Lust_Lost_ChillBar-Canggu_North_Kuta_Bali.html,16.0
Taman Segara Madu - Canggu,Canggu,Taman Segara Madu,"['Taman Air & Taman Hiburan (2)', 'Harga terjangkau (58)', 'Cocok untuk Anak-Anak (46)', 'Cocok untuk Kelompok Besar (25)']",https://www.tripadvisor.co.id/Attraction_Review-g311298-d10173884-Reviews-Taman_Segara_Madu-Canggu_North_Kuta_Bali.html,43.0
Traditional Balinese Cultural Dance Performances at Hotel Tugu Bali - Canggu,Canggu,Traditional Balinese Cultural Dance Performances at Hotel Tugu Bali,['Konser & Pertunjukan (2)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d12956065-Reviews-Traditional_Balinese_Cultural_Dance_Performances_at_Hotel_Tugu_Bali-Canggu_North.html,7.0
Live Balinese Dance & Music Performance - Canggu,Canggu,Live Balinese Dance & Music Performance,['Konser & Pertunjukan (2)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d14170143-Reviews-Live_Balinese_Dance_Music_Performance-Canggu_North_Kuta_Bali.html,5.0
Pantai Bolong Bulan - Canggu,Canggu,Pantai Bolong Bulan,"['Pemandangan & Tengara (1)', 'Harga terjangkau (58)', 'Cocok untuk Anak-Anak (46)', 'Cocok untuk Kelompok Besar (25)', 'Masuk Gratis (17)']",https://www.tripadvisor.co.id/Attraction_Review-g311298-d2634198-Reviews-Batu_Bolong_Beach-Canggu_North_Kuta_Bali.html,216.0
Alternative Beach - Canggu,Canggu,Alternative Beach,['Cocok untuk Pasangan (72)'],https://www.tripadvisor.co.id/Attraction_Review-g311298-d15699892-Reviews-Alternative_Beach-Canggu_North_Kuta_Bali.html,23.0
Cheap Bromo - Surabaya,Surabaya,Cheap Bromo,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d12522256-Reviews-Cheap_Bromo-Surabaya_East_Java_Java.html,312.0
Tour Mount Bromo - Surabaya,Surabaya,Tour Mount Bromo,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d13505927-Reviews-Tour_Mount_Bromo-Surabaya_East_Java_Java.html,248.0
Bromo Taxi - Surabaya,Surabaya,Bromo Taxi,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d12968779-Reviews-Bromo_Taxi-Surabaya_East_Java_Java.html,27.0
The Private Tour Indonesia - Surabaya,Surabaya,The Private Tour Indonesia,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d12404445-Reviews-The_Private_Tour_Indonesia-Surabaya_East_Java_Java.html,22.0
Bromo Ijen Tour Driver - Surabaya,Surabaya,Bromo Ijen Tour Driver,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d13417074-Reviews-Bromo_Ijen_Tour_Driver-Surabaya_East_Java_Java.html,18.0
Getaway Tours - Surabaya,Surabaya,Getaway Tours,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d9862361-Reviews-Getaway_Tours-Surabaya_East_Java_Java.html,32.0
AOM Indonesia - Surabaya,Surabaya,AOM Indonesia,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d9850683-Reviews-AOM_Indonesia-Surabaya_East_Java_Java.html,18.0
Lintang Buana Tours - Surabaya,Surabaya,Lintang Buana Tours,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d19213554-Reviews-Lintang_Buana_Tours-Surabaya_East_Java_Java.html,1.0
MYTRIP Tour & Travel - Surabaya,Surabaya,MYTRIP Tour & Travel,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d20345857-Reviews-MYTRIP_Tour_Travel-Surabaya_East_Java_Java.html,1.0
Yogyakarta Bromo Ijen Bali trip - Surabaya,Surabaya,Yogyakarta Bromo Ijen Bali trip,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d19444666-Reviews-Yogyakarta_Bromo_Ijen_Bali_trip-Surabaya_East_Java_Java.html,1.0
SulaimanBromo - Surabaya,Surabaya,SulaimanBromo,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d19365097-Reviews-SulaimanBromo-Surabaya_East_Java_Java.html,1.0
Javadipa Travel - Surabaya,Surabaya,Javadipa Travel,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d14770560-Reviews-Javadipa_Travel-Surabaya_East_Java_Java.html,12.0
Mollow Dive Center - Surabaya,Surabaya,Mollow Dive Center,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d10860308-Reviews-Mollow_Dive_Center-Surabaya_East_Java_Java.html,21.0
Trippy Trip Tour - Surabaya,Surabaya,Trippy Trip Tour,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d15528678-Reviews-Trippy_Trip_Tour-Surabaya_East_Java_Java.html,10.0
The Java Tour - Surabaya,Surabaya,The Java Tour,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d15872184-Reviews-The_Java_Tour-Surabaya_East_Java_Java.html,11.0
Bromo Tours - Surabaya,Surabaya,Bromo Tours,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d12653115-Reviews-Bromo_Tours-Surabaya_East_Java_Java.html,17.0
East Coast Center - Surabaya,Surabaya,East Coast Center,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d8549132-Reviews-East_Coast_Center-Surabaya_East_Java_Java.html,26.0
World Heritage Network - Gunung Bromo & Kawah Ijen - Surabaya,Surabaya,World Heritage Network - Gunung Bromo & Kawah Ijen,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d4858564-Reviews-World_Heritage_Network_Mount_Bromo_Ijen_Crater-Surabaya_East_Java_Java.html,45.0
Bromo Java Paradise - Surabaya,Surabaya,Bromo Java Paradise,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d15216891-Reviews-Bromo_Java_Paradise-Surabaya_East_Java_Java.html,17.0
Golf Graha Famili & Country Club - Surabaya,Surabaya,Golf Graha Famili & Country Club,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d5003761-Reviews-Golf_Graha_Famili_Country_Club-Surabaya_East_Java_Java.html,24.0
Lava Bromo Tour - Surabaya,Surabaya,Lava Bromo Tour,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d17454270-Reviews-Lava_Bromo_Tour-Surabaya_East_Java_Java.html,8.0
Ekowisata Bakau Wonorejo - Surabaya,Surabaya,Ekowisata Bakau Wonorejo,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d6494503-Reviews-Ekowisata_Mangrove_Wonorejo-Surabaya_East_Java_Java.html,71.0
Paradise In Khatulistiwa - Surabaya,Surabaya,Paradise In Khatulistiwa,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d15032127-Reviews-Paradise_In_Khatulistiwa-Surabaya_East_Java_Java.html,7.0
BromoExplorer - Surabaya,Surabaya,BromoExplorer,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d12826376-Reviews-BromoExplorer-Surabaya_East_Java_Java.html,15.0
Mountainerary - Surabaya,Surabaya,Mountainerary,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d15349678-Reviews-Mountainerary-Surabaya_East_Java_Java.html,7.0
Java Eco Trip - Surabaya,Surabaya,Java Eco Trip,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d15585175-Reviews-Java_Eco_Trip-Surabaya_East_Java_Java.html,6.0
Monumen Gubernur Suryo - Surabaya,Surabaya,Monumen Gubernur Suryo,"['Aktivitas Luar Ruangan (86)', 'Pemandangan & Tengara (48)', 'Wisata Alam & Taman (17)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d8047023-Reviews-Monumen_Gubernur_Suryo-Surabaya_East_Java_Java.html,19.0
Rameyza Wisata Indonesia - Surabaya,Surabaya,Rameyza Wisata Indonesia,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d15321102-Reviews-Rameyza_Wisata_Indonesia-Surabaya_East_Java_Java.html,20.0
Pantai Kenjeran - Surabaya,Surabaya,Pantai Kenjeran,"['Aktivitas Luar Ruangan (86)', 'Wisata Alam & Taman (17)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d10157794-Reviews-Kenjeran_Beach-Surabaya_East_Java_Java.html,60.0
Bukit Darmo - Surabaya,Surabaya,Bukit Darmo,['Aktivitas Luar Ruangan (86)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d390535-Reviews-Bukit_Darmo-Surabaya_East_Java_Java.html,15.0
Mesjid Al-Akbar - Surabaya,Surabaya,Mesjid Al-Akbar,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Bagus Saat Hujan (36)', 'Cocok untuk Kelompok Besar (35)', 'Cocok untuk Pasangan (23)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d3459211-Reviews-Masjid_Nasional_Al_Akbar-Surabaya_East_Java_Java.html,379.0
Jembatan Suramadu - Surabaya,Surabaya,Jembatan Suramadu,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Harga terjangkau (38)', 'Cocok untuk Kelompok Besar (35)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d1972343-Reviews-Suramadu_National_Bridge-Surabaya_East_Java_Java.html,1165.0
Tugu Pahlawan - Surabaya,Surabaya,Tugu Pahlawan,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Cocok untuk Kelompok Besar (35)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d379338-Reviews-Tugu_Pahlawan-Surabaya_East_Java_Java.html,400.0
Mesjid Ampel - Surabaya,Surabaya,Mesjid Ampel,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Harga terjangkau (38)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d1989128-Reviews-Ampel_Mosque-Surabaya_East_Java_Java.html,213.0
Pesta Makanan Pakuwon - Surabaya,Surabaya,Pesta Makanan Pakuwon,"['Pemandangan & Tengara (48)', 'Tempat Belanja (47)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Cocok untuk Kelompok Besar (35)', 'Cocok untuk Pasangan (23)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d1992970-Reviews-Pakuwon_Food_Festival-Surabaya_East_Java_Java.html,245.0
Monumen Kapal Selam (Monkasel) - Surabaya,Surabaya,Monumen Kapal Selam (Monkasel),"['Pemandangan & Tengara (48)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Cocok untuk Kelompok Besar (35)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d450889-Reviews-Monkasel_Submarine_Monument-Surabaya_East_Java_Java.html,662.0
Patung Sura dan Buaya - Surabaya,Surabaya,Patung Sura dan Buaya,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d450898-Reviews-Suroboyo_Monument-Surabaya_East_Java_Java.html,245.0
Stasiun Surabaya Gubeng - Surabaya,Surabaya,Stasiun Surabaya Gubeng,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Bagus Saat Hujan (36)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d12079787-Reviews-Gubeng_Railway_Station-Surabaya_East_Java_Java.html,109.0
Masjid Muhammad Cheng Hoo - Surabaya,Surabaya,Masjid Muhammad Cheng Hoo,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Bagus Saat Hujan (36)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d6887457-Reviews-Muhammad_Cheng_Hoo_Mosque-Surabaya_East_Java_Java.html,140.0
Gereja Santa Perawan Maria - Surabaya,Surabaya,Gereja Santa Perawan Maria,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Harga terjangkau (38)', 'Bagus Saat Hujan (36)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d447073-Reviews-Gereja_Santa_Perawan_Maria-Surabaya_East_Java_Java.html,102.0
Vihara Sanggar Agung - Surabaya,Surabaya,Vihara Sanggar Agung,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Cocok untuk Kelompok Besar (35)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d1997553-Reviews-Sanggar_Agung_Temple-Surabaya_East_Java_Java.html,125.0
Bangunan Grahadi - Surabaya,Surabaya,Bangunan Grahadi,['Pemandangan & Tengara (48)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d3459209-Reviews-Grahadi_Building-Surabaya_East_Java_Java.html,70.0
Surabaya North Quay - Surabaya,Surabaya,Surabaya North Quay,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Cocok untuk Kelompok Besar (35)', 'Cocok untuk Pasangan (23)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d10130266-Reviews-Surabaya_North_Quay-Surabaya_East_Java_Java.html,87.0
Gedung Sejarah bekas Bank Javasche Soerabaia - Surabaya,Surabaya,Gedung Sejarah bekas Bank Javasche Soerabaia,"['Pemandangan & Tengara (48)', 'Museum (16)', 'Harga terjangkau (38)', 'Bagus Saat Hujan (36)', 'Cocok untuk Kelompok Besar (35)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d4724602-Reviews-Ex_De_Javasche_Bank_Soerabaia-Surabaya_East_Java_Java.html,50.0
Monumen Bambu Runcing - Surabaya,Surabaya,Monumen Bambu Runcing,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d8047027-Reviews-Monumen_Bambu_Runcing-Surabaya_East_Java_Java.html,94.0
Gedung Balai Pemuda - Surabaya,Surabaya,Gedung Balai Pemuda,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Harga terjangkau (38)', 'Bagus Saat Hujan (36)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d3476114-Reviews-Balai_Pemuda-Surabaya_East_Java_Java.html,63.0
Kebun Bibit Wonorejo - Surabaya,Surabaya,Kebun Bibit Wonorejo,"['Pemandangan & Tengara (48)', 'Tempat Belanja (47)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d8667181-Reviews-Wonorejo_Nursery-Surabaya_East_Java_Java.html,41.0
Jalan Pahlawan - Surabaya,Surabaya,Jalan Pahlawan,"['Pemandangan & Tengara (48)', 'Harga terjangkau (38)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d447072-Reviews-Jalan_Pahlawan-Surabaya_East_Java_Java.html,59.0
Monumen Perjuangan POLRI - Surabaya,Surabaya,Monumen Perjuangan POLRI,"['Pemandangan & Tengara (48)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d4354583-Reviews-Monumen_Perjuangan_POLRI-Surabaya_East_Java_Java.html,69.0
Monumen Jalesveva Jayamahe - Surabaya,Surabaya,Monumen Jalesveva Jayamahe,"['Pemandangan & Tengara (48)', 'Masuk Gratis (49)', 'Cocok untuk Kelompok Besar (35)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d447112-Reviews-Jalesveva_Jayamahe_Monument-Surabaya_East_Java_Java.html,46.0
Balai Kota Surabaya - Surabaya,Surabaya,Balai Kota Surabaya,['Pemandangan & Tengara (48)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d12871171-Reviews-Surabaya_Town_Hall-Surabaya_East_Java_Java.html,16.0
Jembatan Suroboyo - Surabaya,Surabaya,Jembatan Suroboyo,['Pemandangan & Tengara (48)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d12276529-Reviews-Suroboyo_Bridge-Surabaya_East_Java_Java.html,19.0
Temple of Heaven Kenjeran - Surabaya,Surabaya,Temple of Heaven Kenjeran,"['Pemandangan & Tengara (48)', 'Harga terjangkau (38)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d9559335-Reviews-Temple_of_Heaven_Kenjeran-Surabaya_East_Java_Java.html,59.0
Patung Buddha Empat Wajah - Surabaya,Surabaya,Patung Buddha Empat Wajah,"['Pemandangan & Tengara (48)', 'Cocok untuk Anak-Anak (40)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d10387596-Reviews-Four_Face_Buddha_Statue-Surabaya_East_Java_Java.html,31.0
Jembatan Merah - Surabaya,Surabaya,Jembatan Merah,"['Pemandangan & Tengara (48)', 'Harga terjangkau (38)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d447113-Reviews-Jembatan_Merah-Surabaya_East_Java_Java.html,138.0
Patung Buddha Joko Dolog - Surabaya,Surabaya,Patung Buddha Joko Dolog,['Pemandangan & Tengara (48)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d5982559-Reviews-Joko_Dolog_Buddhist_Statue-Surabaya_East_Java_Java.html,32.0
Ereveld Kembang Kuning - Surabaya,Surabaya,Ereveld Kembang Kuning,['Pemandangan & Tengara (48)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d16850519-Reviews-Ereveld_Kembang_Kuning-Surabaya_East_Java_Java.html,6.0
Kenjeran Park - Surabaya,Surabaya,Kenjeran Park,['Pemandangan & Tengara (48)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d12474843-Reviews-Kenjeran_Park-Surabaya_East_Java_Java.html,28.0
Stasiun Wonokromo - Surabaya,Surabaya,Stasiun Wonokromo,['Pemandangan & Tengara (48)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d12079785-Reviews-Wonokromo_Railway_Station-Surabaya_East_Java_Java.html,12.0
Tunjungan Plaza - Surabaya,Surabaya,Tunjungan Plaza,"['Tempat Belanja (47)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Bagus Saat Hujan (36)', 'Cocok untuk Kelompok Besar (35)', 'Cocok untuk Pasangan (23)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d1979090-Reviews-Tunjungan_Plaza-Surabaya_East_Java_Java.html,1306.0
Ciputra World Surabaya - Surabaya,Surabaya,Ciputra World Surabaya,['Tempat Belanja (47)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d2321605-Reviews-Ciputra_World_Surabaya-Surabaya_East_Java_Java.html,284.0
Mal Galaxy - Surabaya,Surabaya,Mal Galaxy,"['Tempat Belanja (47)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Bagus Saat Hujan (36)', 'Cocok untuk Kelompok Besar (35)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d3218967-Reviews-Galaxy_Mall-Surabaya_East_Java_Java.html,212.0
Pusat Perbelanjaan Surabaya Town Square - Surabaya,Surabaya,Pusat Perbelanjaan Surabaya Town Square,"['Tempat Belanja (47)', 'Masuk Gratis (49)', 'Bagus Saat Hujan (36)', 'Cocok untuk Kelompok Besar (35)', 'Cocok untuk Pasangan (23)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d1984984-Reviews-Surabaya_Town_Square-Surabaya_East_Java_Java.html,574.0
Pasar Atom - Surabaya,Surabaya,Pasar Atom,['Tempat Belanja (47)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d2321608-Reviews-Pasar_Atom-Surabaya_East_Java_Java.html,127.0
Supermal Pakuwon Indah - Surabaya,Surabaya,Supermal Pakuwon Indah,"['Tempat Belanja (47)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Bagus Saat Hujan (36)', 'Cocok untuk Kelompok Besar (35)', 'Cocok untuk Pasangan (23)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d8608302-Reviews-Supermal_Pakuwon_Indah-Surabaya_East_Java_Java.html,82.0
Mirota Batik - Surabaya,Surabaya,Mirota Batik,['Tempat Belanja (47)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d7178597-Reviews-Mirota_Batik-Surabaya_East_Java_Java.html,89.0
Grand City Surabaya - Surabaya,Surabaya,Grand City Surabaya,"['Tempat Belanja (47)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Bagus Saat Hujan (36)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d2321603-Reviews-Grand_City_Surabaya-Surabaya_East_Java_Java.html,102.0
Royal Plaza - Surabaya,Surabaya,Royal Plaza,"['Tempat Belanja (47)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Bagus Saat Hujan (36)', 'Cocok untuk Kelompok Besar (35)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d8608323-Reviews-Royal_Plaza-Surabaya_East_Java_Java.html,70.0
ITC Surabaya Mega Grosir - Surabaya,Surabaya,ITC Surabaya Mega Grosir,"['Tempat Belanja (47)', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Bagus Saat Hujan (36)', 'Cocok untuk Kelompok Besar (35)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d8627299-Reviews-ITC_Surabaya_Mega_Grosir-Surabaya_East_Java_Java.html,40.0
Pakuwon Trade Centre - Surabaya,Surabaya,Pakuwon Trade Centre,['Tempat Belanja (47)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d18933722-Reviews-Pakuwon_Trade_Centre-Surabaya_East_Java_Java.html,2.0
Pasar Genteng - Surabaya,Surabaya,Pasar Genteng,['Tempat Belanja (47)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d7358740-Reviews-Pasar_Genteng-Surabaya_East_Java_Java.html,49.0
Marvell City - Surabaya,Surabaya,Marvell City,"['Tempat Belanja (47)', 'Hiburan & Permainan (19)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d9699858-Reviews-Marvell_City-Surabaya_East_Java_Java.html,39.0
Plaza Surabaya - Surabaya,Surabaya,Plaza Surabaya,"['Tempat Belanja (47)', 'Masuk Gratis (49)', 'Bagus Saat Hujan (36)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d8587282-Reviews-Plaza_Surabaya-Surabaya_East_Java_Java.html,65.0
Wisata Rasa - Surabaya,Surabaya,Wisata Rasa,['Tempat Belanja (47)'],https://www.tripadvisor.co.id/Attraction_Review-g297715-d8697105-Reviews-Wisata_Rasa-Surabaya_East_Java_Java.html,31.0
Kaza City Mall - Surabaya,Surabaya,Kaza City Mall,"['Tempat Belanja (47)', 'Cocok untuk Anak-Anak (40)']",https://www.tripadvisor.co.id/Attraction_Review-g297715-d10629011-Reviews-Kaza_City_Mall-Surabaya_East_Java_Java.html,25.0
